OG,K-12 (KFF-acpP),K-12 ΔsbmA (KFF-acpP),K-12 (D-KFF-acpP),Salmonella (KFF-acpP),K-12 (KFF-rpsH),Klebsiella (KFF-acpP),UPEC (KFF-acpP),K-12 (RXR-acpP),Pseudomonas (RXR-acpP)
COG2885,0,0,0,0,0,0,0,0,1
COG4413,0,0,0,0,0,0,0,0,1
COG3143,1,0,0,0,0,0,0,0,0
COG0579,0,0,0,0,0,0,0,1,0
COG2771,0,0,0,0,0,0,0,0,1
32T5P,1,0,0,0,0,0,0,0,0
COG4625,0,0,0,1,0,0,1,0,0
COG0665,0,0,0,0,0,0,0,0,1
COG2198,1,0,0,0,0,0,0,0,0
COG0835,1,0,0,0,0,0,0,0,0
COG2205,1,0,0,0,1,0,0,0,0
COG3174,0,0,0,0,0,0,0,0,1
COG0668,0,0,0,0,0,0,0,0,1
COG1113,0,0,0,0,0,0,0,0,1
COG2911,0,0,0,1,0,0,0,0,0
COG4656,0,1,0,0,0,0,0,1,0
COG2814,0,0,0,0,0,0,0,0,1
COG0658,0,0,0,0,0,1,0,0,0
COG1680,1,0,0,0,1,0,0,0,0
COG4589,0,0,1,0,0,0,0,0,0
COG0789,0,0,0,0,0,1,0,0,0
COG1028,1,1,0,0,0,0,0,0,0
COG2148,0,0,0,0,0,1,0,0,0
COG0841,0,0,0,0,0,1,0,0,0
COG0306,0,1,0,0,0,0,0,0,0
COG2977,0,0,0,0,0,1,0,0,0
COG4171,0,0,1,0,0,0,0,0,0
COG0394,0,0,0,0,0,1,0,0,0
COG3128,0,0,0,0,0,1,0,0,0
COG2050,0,0,0,0,0,0,0,0,1
COG1522,0,0,1,0,0,1,0,0,1
COG0523,0,0,0,0,0,0,0,0,1
COG2304,0,0,0,0,0,0,0,0,1
2ZAUQ,0,0,0,0,0,0,0,0,1
COG0317,0,0,1,0,0,0,0,0,0
COG2916,1,1,0,0,0,0,0,0,0
COG0624,0,0,0,0,0,1,0,0,0
COG0489,0,0,0,0,0,1,0,0,0
COG2201,1,0,0,0,0,0,0,0,0
COG1063,0,0,0,0,0,0,1,0,0
30R7T,1,1,0,0,0,0,0,0,0
COG3218,0,0,0,0,0,0,0,0,1
COG0531,0,0,0,0,0,0,0,0,1
COG1181,1,0,0,0,0,0,0,0,0
COG0664,1,0,0,0,1,0,0,0,0
COG1362,0,0,0,0,0,0,0,0,1
COG3710,0,0,1,0,0,0,0,0,0
COG0493,0,0,0,1,0,0,0,0,0
COG0215,0,0,0,0,0,0,0,1,0
COG0550,0,1,0,1,0,0,0,0,0
COG1226,0,0,0,0,0,0,0,0,1
COG2200,0,0,1,0,0,1,0,0,0
COG3284,0,0,0,0,0,0,0,0,1
COG3495,0,0,0,0,0,0,0,0,1
COG1291,1,0,0,0,0,0,0,0,0
COG3206,0,0,0,0,0,1,0,0,0
COG1946,0,0,0,0,0,0,0,0,1
COG2154,0,0,0,0,0,0,0,0,1
COG0250,0,0,0,0,0,1,0,0,0
COG0297,0,0,0,0,0,1,0,0,0
2ZRXW,1,0,0,0,0,0,0,0,0
COG0251,0,0,0,0,0,0,0,0,1
COG1388,0,0,0,0,0,0,0,0,1
